Year,Match Number,Date,Stadium,City,Match,Match Details,Batting team,Total Score,Total Wicket,Batsman Names,Out/Not Out,Total Runs,Balls Played,Fours,Sixes,Strike Rate
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Chris Gayle,c Kamran Akmal b Umar Gul,2,6,0,0,33.33
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Shivnarine Chanderpaul,c Kamran Akmal b Iftikhar Anjum,19,63,1,0,30.16
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Ramnaresh Sarwan,c Younis Khan b Iftikhar Anjum,49,65,9,0,75.38
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Marlon Samuels,c Shoaib Malik b Mohammad Hafeez,63,70,5,3,90
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Brian Lara,c Kamran Akmal b Mohammad Hafeez,37,56,3,1,66.07
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Dwayne Bravo,c Naved-ul-Hasan b Iftikhar Anjum,16,17,2,0,94.12
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Denesh Ramdin,st Kamran Akmal b Danish Kaneria,1,4,0,0,25
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Dwayne Smith,c Inzamam-ul-Haq b Umar Gul,32,15,3,2,213.33
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Jerome Taylor,run out (Iftikhar Anjum),2,4,0,0,50
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Daren Powell,not out,1,1,0,0,100
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indies,241,9,Corey Collymore,not out,8,2,0,1,400
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Imran Nazir,c Ramdin b Powell,6,3,0,1,200
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Mohammad Hafeez,c Lara b Powell,11,28,2,0,39.29
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Younis Khan,c Ramdin b Taylor,9,13,2,0,69.23
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Mohammad Yousuf,c Ramdin b Smith,37,72,1,0,51.39
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Inzamam-ul-Haq,lbw b Smith,36,65,4,0,55.38
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Shoaib Malik,c Chanderpaul b Collymore,62,54,6,1,114.81
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Kamran Akmal,c Bravo b Smith,0,1,0,0,0
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Naved-ul-Hasan,b Bravo,11,29,0,0,37.93
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Iftikhar Anjum,c Lara b Bravo,11,18,0,0,61.11
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Umar Gul,c &amp; b Bravo,0,1,0,0,0
2007,1st Match,"March,13,2007",Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup", Pakistan,187,10,Danish Kaneria,not out,0,0,0,0,0
2007,2nd Match,"March,14,2007",Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,334,6,Adam Gilchrist,lbw b Brown,46,55,7,0,83.64
2007,2nd Match,"March,14,2007",Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,334,6,Matthew Hayden,lbw b Haq,60,73,6,1,82.19
2007,2nd Match,"March,14,2007",Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,334,6,Ricky Ponting,b Wright,113,93,9,5,121.51
2007,2nd Match,"March,14,2007",Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,334,6,Michael Clarke,b Haq,15,20,1,0,75
2007,2nd Match,"March,14,2007",Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,334,6,Brad Hodge,c Hoffmann b Rogers,29,28,3,0,103.57
2007,2nd Match,"March,14,2007",Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,334,6,Michael Hussey,st Smith b Hoffmann,4,6,0,0,66.67
