Year,Match Number,Date,Stadium,City,Match,Match Details,Bowling Team,Total Runs Conceeded,Total Wicket for Team 1,Bowler Name,Overs,Maidens,Runs,Wickets,No Balls,Wides,Economies
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",Pakistan,241,9,Umar Gul,9,1,38,2,1,2,4.22
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",Pakistan,241,9,Naved-ul-Hasan,9,1,49,0,2,0,5.44
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",Pakistan,241,9,Iftikhar Anjum,10,3,44,3,0,0,4.4
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",Pakistan,241,9,Danish Kaneria,9,2,45,1,0,3,5
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",Pakistan,241,9,Mohammad Hafeez,9,0,39,2,0,0,4.33
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",Pakistan,241,9,Shoaib Malik,4,0,24,0,0,0,6
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indiaies,187,10,Daren Powell,10,1,42,2,0,0,4.2
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indiaies,187,10,Jerome Taylor,10,1,38,1,0,0,3.8
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indiaies,187,10,Corey Collymore,8.2,3,27,1,0,1,3.29
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indiaies,187,10,Dwayne Smith,10,0,36,3,0,0,3.6
2007,1st Match,13-Mar-07,Sabina Park,"Kingston, Jamaica, West Indies",West Indies vs Pakistan,"1st Match, Group D, Kingston, March 13, 2007,
ICC World Cup",West Indiaies,187,10,Dwayne Bravo,9,0,42,3,0,1,4.67
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Scotland,334,6,Paul Hoffmann,10,0,57,1,0,2,5.7
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Scotland,334,6,John Blain,4,0,29,0,1,1,7.25
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Scotland,334,6,Craig Wright,10,0,58,1,0,0,5.8
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Scotland,334,6,Dougie Brown,9,0,86,1,0,2,9.56
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Scotland,334,6,Glenn Rogers,10,0,52,1,0,0,5.2
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Scotland,334,6,Majid Haq,7,0,49,2,0,0,7
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,131,10,Nathan Bracken,6,1,12,0,0,0,2
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,131,10,Shaun Tait,8,0,45,2,0,3,5.63
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,131,10,Glenn McGrath,6,1,14,3,1,0,2.33
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,131,10,Shane Watson,7,1,18,0,0,1,2.57
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,131,10,Brad Hogg,7.1,1,16,1,0,0,2.25
2007,2nd Match,14-Mar-07,Warner Park,"Basseterre, St Kitts, West Indies",Australia vs Scotland,"2nd Match, Group A, Basseterre, March 14, 2007,
ICC World Cup",Australia,131,10,Brad Hodge,6,0,17,1,0,0,2.83
2007,3rd Match,14-Mar-07,Daren Sammy National Cricket Stadium,"Gros I Sri Lankaet, St Lucia, West Indies",Canada vs Kenya,"3rd Match, Group C, Gros I Sri Lankaet, March 14, 2007,
ICC World Cup",Kenya,199,10,Thomas Odoyo,8,1,32,1,2,0,4
