Year,Match Number,Date,Stadium,City,Match,Match Details,Batting team,Total Score,Total Wicket,Batsman Names,Out/Not Out,Total Runs,Balls Played,Fours,Sixes,Strike Rate
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,370,4,Virender Sehwag,b S Hasan,175,140,14,5,125
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,370,4,Sachin Tendulkar,run out (S Hasan/M Rahim),28,29,4,0,96.55
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,370,4,Gautam Gambhir,b Mahmudullah,39,39,3,0,100
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,370,4,Virat Kohli,not out,100,83,8,2,120.48
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,370,4,Yusuf Pathan,c M Rahim b S Islam,8,10,0,0,80
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Tamim Iqbal,c Y Singh b M Patel,70,86,3,1,81.4
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Imrul Kayes,b M Patel,34,29,7,0,117.24
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Junaid Siddique,st M Dhoni b H Singh,37,52,1,1,71.15
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Shakib Al Hasan,c H Singh b Y Pathan,55,50,5,0,110
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Mushfiqur Rahim,c (sub)S Raina b Z Khan,25,30,2,0,83.33
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Raqibul Hasan,not out,28,28,0,1,100
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Mahmudullah,b M Patel,6,6,0,0,100
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Naeem Islam,lbw b M Patel,2,8,0,0,25
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Abdur Razzak,lbw b Z Khan,1,5,0,0,20
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Shafiul Islam,run out (H Singh),0,1,0,0,0
2011,1st Match,"February,19,2011",Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,283,9,Rubel Hossain,not out,1,6,0,0,16.67
2011,2nd Match,"February,20,2011",MA Chidambaram Stadium,"Chennai, India",Kenya vs  New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,69,10,Alex Obanda,lbw b T Southee,6,19,0,0,31.58
2011,2nd Match,"February,20,2011",MA Chidambaram Stadium,"Chennai, India",Kenya vs  New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,69,10,Seren Waters,lbw b H Bennett,16,42,1,0,38.1
2011,2nd Match,"February,20,2011",MA Chidambaram Stadium,"Chennai, India",Kenya vs  New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,69,10,Collins Obuya,lbw b H Bennett,14,19,2,0,73.68
2011,2nd Match,"February,20,2011",MA Chidambaram Stadium,"Chennai, India",Kenya vs  New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,69,10,Steve Tikolo,b H Bennett,2,2,0,0,100
2011,2nd Match,"February,20,2011",MA Chidambaram Stadium,"Chennai, India",Kenya vs  New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,69,10,Morris Ouma,lbw b H Bennett,1,6,0,0,16.67
2011,2nd Match,"February,20,2011",MA Chidambaram Stadium,"Chennai, India",Kenya vs  New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,69,10,Rakep Patel,not out,16,23,1,0,69.57
2011,2nd Match,"February,20,2011",MA Chidambaram Stadium,"Chennai, India",Kenya vs  New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,69,10,Jimmy Kamande,c B McCullum b J Oram,2,16,0,0,12.5
