Year,Match Number,Date,Stadium,City,Match,Match Details,Bowling_Team,Total Runs Conceeded,Total Wicket ,Bowler Name,Overs,Maidens,Runs,Wickets,No Balls,Wides,Economies
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,370,4,Shafiul ISrilankaam,7,0,69,1,10,2,9.86
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,370,4,Rubel Hossain,10,0,60,0,0,5,6
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,370,4,Abdur Razzak,9,0,74,0,0,1,8.22
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,370,4,Shakib Al Hasan,10,0,61,1,0,3,6.1
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,370,4,Naeem ISrilankaam,7,0,54,0,0,0,7.71
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",Bangladesh,370,4,Mahmudullah,7,0,49,1,0,3,7
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,282,9,S Sreesanth,5,0,53,0,1,1,10.6
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,282,9,Zaheer Khan,10,0,40,2,0,4,4
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,282,9,Munaf Patel,10,0,48,4,0,0,4.8
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,282,9,Harbhajan Singh,10,0,41,1,0,1,4.1
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,282,9,Yusuf Pathan,8,0,49,1,0,2,6.13
2011,1st Match,19-February-2011,Shere Bangla National Stadium,"Dhaka, Bangladesh",India vs Bangladesh,"1st Match, Group B (D/N), Mirpur, February 19, 2011,
ICC Cricket World Cup",India,282,9,Yuvraj Singh,7,0,42,0,0,1,6
2011,2nd Match,20-February-2011,MA Chidambaram Stadium,"Chennai, Indiaia",Kenya vs New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",New Zealand,69,10,Tim Southee,6,0,13,3,1,0,2.17
2011,2nd Match,20-February-2011,MA Chidambaram Stadium,"Chennai, Indiaia",Kenya vs New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",New Zealand,69,10,Nathan McCullum,4,0,15,0,0,1,3.75
2011,2nd Match,20-February-2011,MA Chidambaram Stadium,"Chennai, Indiaia",Kenya vs New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",New Zealand,69,10,Hamish Bennett,5,0,16,4,0,1,3.2
2011,2nd Match,20-February-2011,MA Chidambaram Stadium,"Chennai, Indiaia",Kenya vs New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",New Zealand,69,10,Daniel Vettori,6,1,16,0,0,0,2.67
2011,2nd Match,20-February-2011,MA Chidambaram Stadium,"Chennai, Indiaia",Kenya vs New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",New Zealand,69,10,Jacob Oram,2.5,1,2,3,0,0,0.8
2011,2nd Match,20-February-2011,MA Chidambaram Stadium,"Chennai, Indiaia",Kenya vs New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,72,0,Thomas Odoyo,3,0,25,0,0,1,8.33
2011,2nd Match,20-February-2011,MA Chidambaram Stadium,"Chennai, Indiaia",Kenya vs New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,72,0,Elijah Otieno,2,0,18,0,0,0,9
2011,2nd Match,20-February-2011,MA Chidambaram Stadium,"Chennai, Indiaia",Kenya vs New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,72,0,Jimmy Kamande,2,0,21,0,0,1,10.5
2011,2nd Match,20-February-2011,MA Chidambaram Stadium,"Chennai, Indiaia",Kenya vs New Zealand,"2nd Match, Group A, Chennai, February 20, 2011,
ICC Cricket World Cup",Kenya,72,0,Nehemiah Odhiambo,1,0,5,0,1,1,5
2011,3rd Match,20-February-2011,MahIndiaa Rajapaksa International Stadium,"Hambantota, Sri Lanka",Srilanka vs Canada,"3rd Match, Group A (D/N), Hambantota, February 20, 2011,
ICC Cricket World Cup",Canada,332,7,Khurram Chohan,8,0,62,0,0,0,7.75
2011,3rd Match,20-February-2011,MahIndiaa Rajapaksa International Stadium,"Hambantota, Sri Lanka",Srilanka vs Canada,"3rd Match, Group A (D/N), Hambantota, February 20, 2011,
ICC Cricket World Cup",Canada,332,7,Henry OsIndiae,2.1,0,10,0,1,2,4.76
2011,3rd Match,20-February-2011,MahIndiaa Rajapaksa International Stadium,"Hambantota, Sri Lanka",Srilanka vs Canada,"3rd Match, Group A (D/N), Hambantota, February 20, 2011,
ICC Cricket World Cup",Canada,332,7,Harvir Baidwan,8.5,0,59,2,0,2,6.94
2011,3rd Match,20-February-2011,MahIndiaa Rajapaksa International Stadium,"Hambantota, Sri Lanka",Srilanka vs Canada,"3rd Match, Group A (D/N), Hambantota, February 20, 2011,
ICC Cricket World Cup",Canada,332,7,Jimmy Hansra,9,0,47,0,0,1,5.22
2011,3rd Match,20-February-2011,MahIndiaa Rajapaksa International Stadium,"Hambantota, Sri Lanka",Srilanka vs Canada,"3rd Match, Group A (D/N), Hambantota, February 20, 2011,
ICC Cricket World Cup",Canada,332,7,Rizwan Cheema,7,0,47,1,0,0,6.71
2011,3rd Match,20-February-2011,MahIndiaa Rajapaksa International Stadium,"Hambantota, Sri Lanka",Srilanka vs Canada,"3rd Match, Group A (D/N), Hambantota, February 20, 2011,
ICC Cricket World Cup",Canada,332,7,Balaji Rao,7,0,48,0,0,0,6.86
2011,3rd Match,20-February-2011,MahIndiaa Rajapaksa International Stadium,"Hambantota, Sri Lanka",Srilanka vs Canada,"3rd Match, Group A (D/N), Hambantota, February 20, 2011,
ICC Cricket World Cup",Canada,332,7,John Davison,8,0,56,2,0,2,7
2011,3rd Match,20-February-2011,MahIndiaa Rajapaksa International Stadium,"Hambantota, Sri Lanka",Srilanka vs Canada,"3rd Match, Group A (D/N), Hambantota, February 20, 2011,
ICC Cricket World Cup",Srilanka,122,10,Nuwan Kulasekara,6,2,16,3,0,0,2.67
2011,3rd Match,20-February-2011,MahIndiaa Rajapaksa International Stadium,"Hambantota, Sri Lanka",Srilanka vs Canada,"3rd Match, Group A (D/N), Hambantota, February 20, 2011,
ICC Cricket World Cup",Srilanka,122,10,Thisara Perera,7,0,24,3,0,0,3.43
