Year,Match Number,Date,Stadium,City,Match,Match Details,Batting Team,Total Score,Column1,Bowler Name,Runs,Balls,Fours,Sixes,Strike Rate,Column2,Column3
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,331,6,Nuwan Kulasekara,8,0,78,1,0,3,9.75
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,331,6,Lasith Malinga,10,0,84,0,3,3,8.4
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,331,6,Angelo Mathews,6,0,28,0,0,0,4.67
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,331,6,Rangana Herath,9,0,37,1,0,1,4.11
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,331,6,Tillakaratne Dilshan,5,0,35,0,0,1,7
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,331,6,Suranga Lakmal,10,0,62,2,0,0,6.2
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",Sri Lanka,331,6,Jeevan Mendis,2,0,5,2,0,0,2.5
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,223,10,Tim Southee,10,1,43,2,0,2,4.3
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,223,10,Trent Boult,10,0,64,2,0,0,6.4
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,223,10,Adam Milne,10,0,56,2,1,3,5.6
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,223,10,Daniel Vettori,10,0,34,2,0,2,3.4
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,223,10,Grant Elliott,2,0,11,0,0,0,5.5
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,223,10,Kane Williamson,1,0,7,0,0,0,7
2015,1st Match,14-February-2015,Hagley Oval,"Christchurch, New Zealand",New Zealand vs Sri Lanka,"1st Match, Pool A, Christchurch, February 14, 2015,
ICC Cricket World Cup",New Zealand,223,10,Corey Anderson,3.1,0,18,2,0,3,5.81
2015,2nd Match,14-February-2015,Melbourne Cricket Ground,"Melbourne, Australia",Australia vs England,"2nd Match, Pool A (D/N), Melbourne, February 14, 2015,
ICC Cricket World Cup",England,342,9,James Anderson,10,0,67,0,0,1,6.7
