Year,Match Number,Date,Stadium,City,Match,Match Details,Bowling team,Total Runs Conceeded,Total Wicket for Team 1,Bowler Name,Overs,Maidens,Runs,Wickets,No Balls,Wides,Economies
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",South Africa,311,8,Imran Tahir,10,0,61,2,0,0,6.1
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",South Africa,311,8,Lungi Ngidi,10,0,66,3,0,2,6.6
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",South Africa,311,8,Kagiso Rabada,10,0,66,2,0,2,6.6
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",South Africa,311,8,Dwaine Pretorius,7,0,42,0,0,0,6
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",South Africa,311,8,Andile Phehlukwayo,8,0,44,1,0,4,5.5
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",South Africa,311,8,Jean-Paul Duminy,2,0,14,0,0,0,7
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",South Africa,311,8,Aiden Markram,3,0,16,0,0,0,5.3
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,207,10,Chris Woakes,5,0,24,0,0,0,4.8
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,207,10,Jofra Archer,7,1,27,3,0,1,3.9
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,207,10,Adil Rashid,8,0,35,1,0,0,4.4
2019,1st match,30-May-2019,Kennington Oval,"London, England",England vs South Africa,"1st match, The Oval, May 30, 2019,
ICC Cricket World Cup",England,207,10,Moeen Ali,10,0,63,1,0,0,6.3
