Year,Match Number,Date,Stadium,City,Match,F,Bowling team,Total Score conceded,Wicket,Bowler Name,Overs,Maidens,Runs,Wickets,No Balls,Wides,Economies
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",New Zealand,282,9,Trent Boult,10,1,48,1,0,1,4.8
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",New Zealand,282,9,Matt Henry,10,1,48,3,0,0,4.8
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",New Zealand,282,9,Mitchell Santner,10,0,37,2,0,1,3.7
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",New Zealand,282,9,James Neesham,7,0,56,0,0,4,8
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",New Zealand,282,9,Rachin Ravindra,10,0,76,1,0,0,7.6
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",New Zealand,282,9,Glenn Phillips,3,0,17,2,0,0,5.7
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,283,1,Chris Woakes,6,0,45,0,0,0,7.5
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,283,1,Sam Curran,6,2,47,1,0,2,7.8
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,283,1,Mark Wood,5,0,55,0,0,1,11
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,283,1,Moeen Ali,9.2,0,60,0,0,0,6.4
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,283,1,Adil Rashid,7,0,47,0,0,0,6.7
2023,1st Match ,5-October-2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,283,1,Liam Livingstone,3,0,24,0,0,0,8
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Netherlands,286,10,Aryan Dutt,10,0,48,1,0,2,4.8
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Netherlands,286,10,Logan van Beek,6,0,30,1,0,1,5
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Netherlands,286,10,Colin Ackermann,8,1,39,2,0,0,4.9
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Netherlands,286,10,Paul van Meekeren,6,0,40,1,0,2,6.7
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Netherlands,286,10,Bas de Leede,9,0,62,4,0,3,6.9
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Netherlands,286,10,Roelof van der Merwe,6,0,36,0,1,0,6
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Netherlands,286,10,Vikramjit Singh,2,0,16,0,0,0,8
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Netherlands,286,10,Saqib Zulfiqar,2,0,15,0,0,0,7.5
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Pakistan,205,10,Shaheen Afridi,7,0,37,1,0,2,5.3
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Pakistan,205,10,Hasan Ali,7,1,33,2,0,4,4.7
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Pakistan,205,10,Haris Rauf,9,0,43,3,0,2,4.8
2023,2nd Match ,6-October-2023,Rajiv Gandhi International Stadium, Hyderabad,Pakistan vs Netherlands,"2nd Match (D/N), Hyderabad, October 06, 2023,
ICC Cricket World Cup",Pakistan,205,10,Iftikhar Ahmed,3,0,16,1,0,0,5.3
